ano;cd_ops;trimestre;receita;despesa;benef
2020;416738;2020Q4;2765738,1;1720165,18;4543,0
2020;417530;2020Q1;14597143,61;11596665,46;11845,0
2020;417530;2020Q2;15190942,26;9255320,24;11971,0
2020;417530;2020Q3;16541296,19;13183010,55;12492,0
2020;417530;2020Q4;19111258,52;13212630,18;12519,0
2020;417599;2020Q1;518163,5;439752,47;922,0
2020;417599;2020Q2;489836,8;479679,18;924,0
2020;417599;2020Q3;356816,44;643397,37;929,0
2020;417599;2020Q4;472697,89;264134,22;967,0
2020;418021;2020Q1;20978528,31;14520012,23;21212,0
2020;418021;2020Q2;20586797,51;15861026,62;21153,0
2020;418021;2020Q3;21614161,83;18165152,92;21305,0
2020;418021;2020Q4;21401812,73;17413808,71;21257,0
2020;418170;2020Q1;21691583,54;17113967,9;24309,0
2020;418170;2020Q2;21202881,22;10993375,63;22853,0
2020;418170;2020Q3;19778390,0;10876869,58;21680,0
2020;418170;2020Q4;16580376,68;14984235,22;20998,0
2020;419141;2020Q1;167781,59;101579,11;184,0
2020;419141;2020Q2;169609,47;54079,36;174,0
2020;419141;2020Q3;167795,31;57128,65;155,0
2020;419141;2020Q4;163220,26;87460,35;152,0
2020;419249;2020Q1;2331474,97;4843779,69;3885,0
2020;419249;2020Q2;2740911,14;2232414,73;3909,0
2020;419249;2020Q3;2443340,74;3826282,26;3982,0
2020;419249;2020Q4;2464770,42;3011489,68;4039,0
2020;420158;2020Q1;10314241,43;6180034,96;10137,0
2020;420158;2020Q2;10365809,47;5191719,97;10043,0
2020;420158;2020Q3;10508940,5;5441796,79;10271,0
2020;420158;2020Q4;10759757,57;6728869,01;10474,0
2020;420166;2020Q1;1625306,83;5042645,64;5062,0
2020;420166;2020Q2;1542668,15;914026,7;5068,0
2020;420166;2020Q3;1562595,78;1196370,21;5091,0
2020;420166;2020Q4;1527231,61;1097370,87;5064,0
2021;301728;2021Q1;1077939,88;705926,23;1674,0
2021;301728;2021Q2;1094407,95;769076,21;1715,0
2021;301728;2021Q3;1116564,28;969044,15;1686,0
2021;301728;2021Q4;1155522,7;937796,44;1726,0
2021;303739;2021Q1;3961877,46;2908106,64;4198,0
2021;303739;2021Q2;3978689,06;3132978,85;4177,0
2021;303739;2021Q3;4002202,87;3132699,99;4148,0
2021;303739;2021Q4;4029137,46;2654740,87;4175,0
2021;311359;2021Q1;822748,15;611830,79;658,0
2021;311359;2021Q2;845412,1;602163,31;645,0
2021;311359;2021Q3;841307,03;502987,13;623,0
2021;311359;2021Q4;845820,33;649744,44;604,0
2021;315265;2021Q1;214336,84;76973,75;357,0
2021;315265;2021Q2;282965,92;120337,54;560,0
2021;315265;2021Q3;394233,72;277319,99;821,0
2021;315265;2021Q4;541384,83;384397,95;1020,0
2021;320510;2021Q1;4203221,05;3361550,51;3340,0
2021;320510;2021Q2;4078279,16;3560404,79;3233,0
2021;320510;2021Q3;4263365,71;3080410,14;3413,0
2021;320510;2021Q4;4275308,12;3529330,94;3401,0
2021;326500;2021Q1;11950879,51;8937224,02;8992,0
2021;326500;2021Q2;12002420,8;9165362,8;8718,0
2021;326500;2021Q3;11476414,61;9517777,92;8447,0
2021;326500;2021Q4;11659894,41;8443849,16;8220,0
2021;327417;2021Q1;6556471,16;5009027,34;9808,0
